author,content,cover,works
七堇年,凯一直说，我沉默地听着。说到了凌晨的时候，凯起身，一言不发地走过去，坐到高凳上，用天文望远镜观察星空，只给我留下一个轮廓模糊的背影。他说，绍城，我多怀念，若现在是在你家的阁楼里，那么不知会看见多少星辰。,,《少年残像》
王尔德,我们都生活在庸庸碌碌的红尘，但是却总有人能仰望清凉如水的星空。,https://static.juzicon.com/contribute/image-88b8cff3-3520-4174-86bf-d14aa2a95e77-191106213354-NWCZ.jpg,
九把刀,"We live in a sewer,
But some people still look up at the stars.
我们生活在阴沟里，
但有人依然仰望星空。",https://static.juzicon.com/contribute/image-b6e92c52-ee09-4cfb-84f6-71508a12e501-200116132339-AHJR.jpg,《少年的你》
李惟七,"难以描述它究竟是何模样，那样简单而又那样瑰丽，仿佛不曾遗漏季节的任何细节-顽皮的古木新芽，清纯的溪水桃花，燃烧的烈焰晚霞，泼墨的雨后青山，沉默的苍穹星空。它像一滴晨露倒映了世界，又像一只眼睛，映出了天地的模样。",,《浮云半书》
,仰望星空的同时，星空也在仰望我的眼泪,https://static.juzicon.com/contribute/image-037beb2e-310f-424d-8410-d05d45a892a7-200307120312-JX90.jpeg,
,无数个夜里 听着音乐 望着星空 寻觅时光的痕迹,,
顾城,"世界在喧闹中逝去，你凝视着什么，在那睫影的掩盖下，我发现了我，一个笨拙的身影，在星空下不知所措。星星渐渐聚成了泪水，从你的心头滑落。我不会问，你也没有说。",,《凝视》
,"我要在最美的年华中/闪耀着银色的星芒/让夜空所有的星辰/都成为你的伴娘
我要在青春的岁月/书写我的奇迹/让诺言用软弱的笔尖/在星空写下婚约",https://static.juzicon.com/contribute/image-437db964-0190-49dc-9ba9-ee3919565b6b-191005083903-OZ48.jpeg,
,墨染碧空，天慕星辉交映，皎皎明月悬挂星空，撒下漫天光辉，似你的名字。银光浮现，往昔依稀可见，眼角泛起朦胧，溃了眼框、碎了心弦。,https://static.juzicon.com/contribute/image-437db964-0190-49dc-9ba9-ee3919565b6b-191005084645-Z4AA.jpeg,
,"她喜欢春天的风，夏天的雨，
秋天的落叶冬天的雪。
喜欢碧海蓝天，
喜欢苍茫草原无尽沙漠。
喜欢浩瀚星空，
喜欢日出日落黎明黄昏。
她喜欢一切美好的事物，
包括帅哥美女
  只是，喜欢不代表爱。",https://static.juzicon.com/contribute/image-53d5c7a3-d53f-45f6-b2fe-4fb8ab7ccebf-191013134023-KOGX.jpeg,
